up_version_pid,up_service_id,up_programme_name
m00026vz,bbc_6music,"Radcliffe and Maconie, SOAK and Tim Burgess"
m00026w1,bbc_6music,"Cerys Matthews, The Chirping of the Lark."
m00026w3,bbc_6music,"The First Time With..., Toots Hibbert"
m00026w5,bbc_6music,"Guy Garvey's Finest Hour, Bird Watching on Today's Agenda"
m00026w7,bbc_6music,"Amy Lamé, Don't fight the tape"
m00026w9,bbc_6music,"Now Playing @6Music, Support the Support Slot!"
m00026wc,bbc_6music,"Stuart Maconie's Freak Zone, Independent Venue Week"
m00026wf,bbc_6music,"Don Letts' Culture Clash Radio, Crucial One Dove"
m00026wh,bbc_6music,"The BBC Introducing Mixtape, 28/01/2019"
m00026wk,bbc_6music,"6 Music Live Hour, The Cosmic Rough Riders, Mary Epworth and Zones"
m00026wm,bbc_6music,"Chris Hawkins, Boy Azooga's guide to Cardiff"
m00026yz,bbc_6music,"Lauren Laverne, Cloudbusting and This Week's Watchlist"
m00026z1,bbc_6music,"Mary Anne Hobbs, With Swindle in Session"
m00026z3,bbc_6music,"Shaun Keaveny, Episode 16 - Brew Monday with new music from Peter Doherty"
m00026z5,bbc_6music,"Steve Lamacq, Independent Venue Week: Edinburgh"
m00026z7,bbc_6music,"Marc Riley, Low In Session"
m00026z9,bbc_6music,"Gideon Coe, Andy White in concert."
m00026z9,bbc_6music,"Gideon Coe, Andy White in concert."
m00026zc,bbc_6music,"6 Music Recommends, with Lauren Laverne"
m00026zc,bbc_6music,"6 Music Recommends, with Lauren Laverne"
m00026zf,bbc_6music,"6 Music Live Hour, Zzebra, the Pop Rivets and Barrington Levy"
m00026zf,bbc_6music,"6 Music Live Hour, Zzebra, the Pop Rivets and Barrington Levy"
m00026zh,bbc_6music,"6 Music's Trunk of Funk with Craig Charles, Indie Venue Trunk of Funk"
m00026zh,bbc_6music,"6 Music's Trunk of Funk with Craig Charles, Indie Venue Trunk of Funk"
m00026zk,bbc_6music,"6 Music's Desert Island Disco with Lauren Laverne, 29/01/2019"
m00026zk,bbc_6music,"6 Music's Desert Island Disco with Lauren Laverne, 29/01/2019"
m00026zm,bbc_6music,"6 Music's People's Playlist with Lauren Laverne, Awards"
m00026zm,bbc_6music,"6 Music's People's Playlist with Lauren Laverne, Awards"
m00026zp,bbc_6music,"Chris Hawkins, Plink + Link"
m00026zp,bbc_6music,"Chris Hawkins, Plink + Link"
m000273t,bbc_6music,"Lauren Laverne, Billy Zane"
m000273t,bbc_6music,"Lauren Laverne, Billy Zane"
m000273w,bbc_6music,"Mary Anne Hobbs, With Songhoy Blues in Session"
m000273w,bbc_6music,"Mary Anne Hobbs, With Songhoy Blues in Session"
m000273y,bbc_6music,"Shaun Keaveny, Episode 17 - Jim James joins Shaun"
m000273y,bbc_6music,"Shaun Keaveny, Episode 17 - Jim James joins Shaun"
m0002740,bbc_6music,"Steve Lamacq, Independent Venue Week: York"
m0002740,bbc_6music,"Steve Lamacq, Independent Venue Week: York"
m0002742,bbc_6music,"Marc Riley, Stereolab and Pauline Murray provide archive sessions"
m0002742,bbc_6music,"Marc Riley, Stereolab and Pauline Murray provide archive sessions"
m0002744,bbc_6music,"Gideon Coe, The Beatles in concert"
m0002746,bbc_6music,"6 Music Recommends, with Tom Ravenscroft"
m0002748,bbc_6music,"6 Music Live Hour, Big Country, Sacred Paws and the Go-Betweens"
m000274b,bbc_6music,"6 Music's Jukebox, Bjork, The Beths, James Blake, and more!"
m000274d,bbc_6music,"Chris Hawkins, Wednesday Whines"
m000277y,bbc_6music,"Lauren Laverne, Neneh Cherry"
m0002780,bbc_6music,"Mary Anne Hobbs, With Reuben Dangoor"
m0002782,bbc_6music,"Shaun Keaveny, Episode 18 - Clinton Baptiste joins"
m0002784,bbc_6music,"Steve Lamacq, Independent Venue Week: Worcester"
m0002786,bbc_6music,"Marc Riley, Huw Stephens sits in"
m0002788,bbc_6music,"Gideon Coe, Punch is the Label Of Love."
m000278b,bbc_6music,"6 Music Live Hour, Back Door, the Average White Band and Andy Roberts."
m000278d,bbc_6music,"6 Music's Jukebox, Sleaford Mods, Velvet Underground, The Specials, and more!"
m000278g,bbc_6music,"Chris Hawkins, Independent Venue Week: Chris chats to Average Sex about the indie venues they love"
m0002796,bbc_6music,"Lauren Laverne, Jamie Dornan and Rosamund Pike"
m0002798,bbc_6music,"Mary Anne Hobbs, 31/01/2019"
m000279b,bbc_6music,"Shaun Keaveny, Epiosde 19 - David Gilmour chats"
m000279d,bbc_6music,"Steve Lamacq, Independent Venue Week: Bedford with Tim Burgess"
m000279g,bbc_6music,"Steve Lamacq's Roundtable, 31/01/2019"
m000279j,bbc_6music,"Marc Riley, Odetta Hartman Live In Session"
m000279l,bbc_6music,"Gideon Coe, Little Feat in concert."
m000279n,bbc_6music,"6 Music Recommends, with Self Esteem"
m000279q,bbc_6music,"6 Music Live Hour, Cast, Loop Guru and NZCA Lines."
m000279s,bbc_6music,"6 Music's Jukebox, John Grant, Elastica, Anna Calvi, and more!"
m000279v,bbc_6music,"Chris Hawkins, Friday’s Awesome Segue"
m00028j3,bbc_6music,"Lauren Laverne, Joe Mount of Metronomy takes us to the Desert Island Disco"
m00028j5,bbc_6music,"Mary Anne Hobbs, With David Holmes in the Mix"
m00028j7,bbc_6music,"Shaun Keaveny, Episode 20 - Funky Frank and Bloc Party"
m00028j9,bbc_6music,"Steve Lamacq, Independent Venue Week: The Specials live in London"
m00028jc,bbc_6music,"Iggy Pop, Iggy Confidential kicking off with the latest from Sleaford Mods"
m00028jf,bbc_6music,"Tom Ravenscroft, With Grup Şimşek in the studio, and in the mix"
m00028jh,bbc_6music,"Nemone's Electric Ladyland, James Lavelle Takes Over"
m00028jk,bbc_6music,"6 Music Classic Concert, The Jam"
m00028jm,bbc_6music,"6 Music Live Hour, David Bowie, John B Spencer and The Cadbury Sisters"
m00028jp,bbc_6music,"Chris Hawkins, It's Been Spiked"
m0002b0g,bbc_6music,"Radcliffe and Maconie, Doves"
m0002b0j,bbc_6music,"The Huey Show, Katie Puckrik sits in"
m0002b0l,bbc_6music,"Liz Kershaw, Neil and Liam Finn"
m0002b0n,bbc_6music,"The Craig Charles Funk and Soul Show, Hot 8 Brass Band Trunk of Funk"
m0002b0q,bbc_6music,"The Tom Robinson Show, Lau live in session"
m0002b0s,bbc_6music,"Freak Zone Playlist, By Black To Comm"
m0002b0v,bbc_6music,"The Joy of 6, 03/02/2019"
m0002b0x,bbc_6music,"6 Music Recommends, The New Music Playlist"
m0002b0z,bbc_6music,"6 Music Live Hour, The Faces, the Keston Cobblers Club and Horace Andy."
m0002b11,bbc_6music,"Chris Hawkins, Elvis Has Left the Building"
m0002b70,bbc_6music,"Radcliffe and Maconie, Maxine Peake"
m0002b72,bbc_6music,"Cerys Matthews, 03/02/2019"
m0002b74,bbc_6music,"Sound and Vision, Barry Jenkins"
m0002b76,bbc_6music,"Guy Garvey's Finest Hour, Warwick Davis on Star Wars"
m0002b78,bbc_6music,"Amy Lamé, La Dolce Vita"
m0002b7b,bbc_6music,"Now Playing @6Music, Plot-driven Playlist"
m0002b7d,bbc_6music,"Stuart Maconie's Freak Zone, With Cosey Fanni Tutti"
m0002b7g,bbc_6music,"Don Letts' Culture Clash Radio, Crucial Ijahman"
m0002b7j,bbc_6music,"The BBC Introducing Mixtape, 04/02/2019"
m0002b7l,bbc_6music,"6 Music Live Hour, Renaissance, Black Axe and Huw Lloyd-Langton."
m0002b7n,bbc_6music,"Chris Hawkins, Methyl Ethel's guide to Perth"
m0002b7q,bbc_6music,"Lauren Laverne, Cloudbusting and This Week's Watchlist"
m0002b7s,bbc_6music,"Mary Anne Hobbs, With John Grant"
m0002b7v,bbc_6music,"Shaun Keaveny, Episode 21 - Pinch Punch First Gig of the Month with Drenge"
m0002b7x,bbc_6music,"Steve Lamacq, 04/02/2019"
m0002b7z,bbc_6music,"Marc Riley, Spratleys Japs Live in Session"
m0002b81,bbc_6music,"Gideon Coe, Portishead in concert."
m0002b83,bbc_6music,"6 Music Recommends, with Lauren Laverne"
m0002b85,bbc_6music,"6 Music Live Hour, Joni Mitchell, Tiny Ruins and the Smiths"
m0002b87,bbc_6music,"6 Music's Trunk of Funk with Craig Charles, Hot 8 Brass Band Trunk of Funk"
m0002b89,bbc_6music,"6 Music's Desert Island Disco with Lauren Laverne, Joe Mount of Metronomy"
m0002b8c,bbc_6music,"6 Music's People's Playlist with Lauren Laverne, Body Positivity"
m0002b8f,bbc_6music,"Chris Hawkins, Sesame Street at 50"
m0002bbx,bbc_6music,"Lauren Laverne, The Maths of Life and 6 Music Salutes Allen Toussaint"
m0002bbz,bbc_6music,"Mary Anne Hobbs, With Northern Soul"
m0002bc1,bbc_6music,"Shaun Keaveny, Episode 22 - Baxter Dury chats in the Music News"
m0002bc3,bbc_6music,"Steve Lamacq, 'Dinosaur to Junior'!"
m0002bc5,bbc_6music,"Marc Riley, Manic Q and A from Sharon Van Etten"
m0002bc7,bbc_6music,"Gideon Coe, Babes In Toyland in concert."
m0002bc9,bbc_6music,"6 Music Recommends, with Tom Ravenscroft"
m0002bcc,bbc_6music,"6 Music Live Hour, Wild Turkey, Back to the Planet and Blurt."
m0002bcf,bbc_6music,"6 Music's Jukebox, 06/02/2019"
m0002bch,bbc_6music,"Chris Hawkins, Wednesday Whines"
m0002bck,bbc_6music,"Lauren Laverne, Joe Cornish"
m0002bcm,bbc_6music,"Mary Anne Hobbs, With Salif Keita"
m0002bcp,bbc_6music,"Shaun Keaveny, Episode 23 - New Music from Honeyblood"
m0002bcr,bbc_6music,"Steve Lamacq, Classic album with The Ruts"
m0002bct,bbc_6music,"Marc Riley, Who's On My T Shirt Tonight Then? Fun Game?"
m0002bcw,bbc_6music,"Gideon Coe, Label Of Love is Sire"
m0002bcy,bbc_6music,"6 Music Recommends, 6 Music Floats"
m0002bd0,bbc_6music,"6 Music Live Hour, Marillion, Dream City Film Club and Regina Spektor"
m0002bd2,bbc_6music,"6 Music's Jukebox, 07/02/2019"
m0002bd4,bbc_6music,"Chris Hawkins, The very best way to wake up"
m0002bjt,bbc_6music,"Lauren Laverne, Tracey Thorn"
m0002bjw,bbc_6music,"Mary Anne Hobbs, With Shabazz Palaces in Session"
m0002bjy,bbc_6music,"Shaun Keaveny, Episode 24 - Sara Pascoe"
m0002bk0,bbc_6music,"Steve Lamacq, Soundtrack The National Anthem"
m0002bk2,bbc_6music,"Steve Lamacq's Roundtable, with Georgie Rodgers, Loyle Carner and Trevor Horn"
m0002bk4,bbc_6music,"Marc Riley, The Fallen Leaves Session Live From London"
m0002bk6,bbc_6music,"Gideon Coe, The Wedding Present in concert."
m0002bk8,bbc_6music,"6 Music Recommends, with Steve Lamacq"
m0002bkb,bbc_6music,"6 Music Live Hour, The Truth, Errors and Adam & The Ants"
m0002bkd,bbc_6music,"6 Music's Jukebox, 08/02/2019"
m0002bkg,bbc_6music,"Chris Hawkins, Friday’s Awesome Segue"
m0002cw3,bbc_6music,"Lauren Laverne, Ellen Page and Spike Lee"
m0002cw5,bbc_6music,"Mary Anne Hobbs, 08/02/2019"
m0002cw7,bbc_6music,"Shaun Keaveny, Episode 25 - New Idlewild Music"
m0002cw9,bbc_6music,"Steve Lamacq, Takeover in the Friday Free For All"
m0002cwc,bbc_6music,"Iggy Pop, Iggy Confidential with a festive nugget from Black Midi"
m0002cwf,bbc_6music,"Tom Ravenscroft, With Weyes Blood live in the studio and a Mira Calix Guest mix"
m0002cwh,bbc_6music,"Nemone's Electric Ladyland, The Berlin Trilogy: Part 1, with Anja Schneider"
m0002cwk,bbc_6music,"6 Music Classic Concert, The Good, The Bad & The Queen"
m0002cwm,bbc_6music,"6 Music Live Hour, Mull Historical Society, Neil Finn and CSS."
m0002cwp,bbc_6music,"Chris Hawkins, Funky Musicology"
m0002d01,bbc_6music,"Radcliffe and Maconie, Prefab Sprout's Paddy McAloon"
m0002d03,bbc_6music,"The Huey Show, Katie Puckrik sits in"
m0002d05,bbc_6music,"Liz Kershaw, Death Cab For Cutie"
m0002d07,bbc_6music,"The Craig Charles Funk and Soul Show, Blue Note Records Trunk of Funk"
m0002d09,bbc_6music,"The Tom Robinson Show, Cloth Live in Session"
m0002d0c,bbc_6music,"Freak Zone Playlist, By Charlotte Adigery"
m0002d0f,bbc_6music,"Sound and Vision, Joe Cornish's Playlist"
m0002d0h,bbc_6music,"6 Music Recommends, The New Music Playlist"
m0002d0k,bbc_6music,"6 Music Live Hour, Aswad, Goatboy and Meat Puppets."
m0002d0m,bbc_6music,"Chris Hawkins, His name is Chris and he too is funky!"
m0002d0p,bbc_6music,"Radcliffe and Maconie, Anna Calvi"
m0002d0r,bbc_6music,"Cerys Matthews, Does it Have a Pulse?"
m0002d0t,bbc_6music,"Sound and Vision, Joe Cornish"
m0002d0w,bbc_6music,"Guy Garvey's Finest Hour, The Word Blue is Today's Theme"
m0002d0y,bbc_6music,"Amy Lamé, Pop Art / Art Pop"
m0002d10,bbc_6music,"Now Playing @6Music, LGBT History Month"
m0002d12,bbc_6music,"Stuart Maconie's Freak Zone, End of Days"
m0002d14,bbc_6music,"Don Letts' Culture Clash Radio, Crucial Broken Social Scene"
m0002d16,bbc_6music,"The BBC Introducing Mixtape, 11/02/2019"
m0002d18,bbc_6music,"6 Music Live Hour, The Mission, Dandy Warhols and tUnE-yArDs."
m0002d1b,bbc_6music,"Chris Hawkins, Fuzzy Sun's guide to Stockport"
m0002dh6,bbc_6music,"Lauren Laverne, Cloudbusting and This Week's Watchlist"
m0002dh8,bbc_6music,"Mary Anne Hobbs, Tom Ravenscroft sits in"
m0002dhb,bbc_6music,"Shaun Keaveny, Episode 26 - Mercury Rev are today's Album of the Day"
m0002dhd,bbc_6music,"Steve Lamacq, European festivals 2019"
m0002dhg,bbc_6music,"Marc Riley, Stealing Sheep Live In Session"
m0002dhj,bbc_6music,"Gideon Coe, The Beat in concert"
m0002dhl,bbc_6music,"6 Music Recommends, with Lauren Laverne"
m0002dhn,bbc_6music,"6 Music Live Hour, Whitesnake, Felt and Owen Pallet"
m0002dhq,bbc_6music,"6 Music's Trunk of Funk with Craig Charles, Blue Note Records"
m0002dhs,bbc_6music,"6 Music's Desert Island Disco with Lauren Laverne, Nas & Damian Marley, Chronixx, Khruangbin, Adele and DJ Fresh"
m0002dhv,bbc_6music,"6 Music's People's Playlist with Lauren Laverne, Myths and Legends"
m0002dhx,bbc_6music,"Chris Hawkins, Plink + Link"
m0002dmt,bbc_6music,"Lauren Laverne, The Maths of Life and 6 Music Salutes"
m0002dmw,bbc_6music,"Mary Anne Hobbs, Tom Ravenscroft sits in"
